Name,Email,MobileNumber,DateOfBirth,WorkExperience,ResumeTitle,CurrentLocation,PostalAddress,CurrentEmployer,CurrentDesignation
Ashish Kumar,assignment1@klimbdemo.com,9876543211,16-Nov-91,5 Year(s),"Front End JavaScript Developer, with 2 years of experience in customer interaction interface design and development",Bengaluru,"H.No. 22, Street 12, Indra Nagar, Bengalure, Karnataka",Logly,Member of Technical Staff
Kirti Agarwal,assignment2@klimbdemo.com,9829993423,21-Feb-89,4 Year(s) 6 Month(s),Full stack Developer in MEAN stack,Gurgaon,"Apt 20, Harmony, Sector 51, Gurgaon, Haryana",Webster,Full stack developer
Kirti Agarwal,assignment2@klimbdemo.com,9829993446,21-Feb-89,4 Year(s) 6 Month(s),Full stack Developer in MEAN stack,Gurgaon,"Apt 20, Harmony, Sector 51, Gurgaon, Haryana",Webster,Full stack developer
Jani Basha S,assignment4@klimbdemo.com,9829993424,30-May-93,5 Year(s) 7 Month(s),To ensure the challenging position in growing orgnization where i would be able to utilize my ML/DL capabilities to the best extent and in the process add value to the organization and my career.,Bangalore,Bangalore,Huawei Technologies,Senior Software Engineer
Manohar Chinnam,assignment5@klimbdemo.com,9829993425,08-Aug-94,4 Year(s) 4 Month(s),Python Developer with B.Tech/B.E. in Electronics/ currently living in Pune,Bangalore,"Road Number 18, Bhel,hyderabad",Shell,Data Scientist
Revanth Pinninti,assignment6@klimbdemo.com,9829993426,27-Oct-94,4 Year(s) 2 Month(s),Senior Software Developer with B.Tech/B.E. in Computers currently living in Hyderabad,Hyderabad,"Plot No 240, Venkateshwara Nilayam, Sardhar Patel Nagar, Nizampet X Roads, Hyderabad - 500090,hyderabad",Hexagon Capability Center India Private Limited,Senior Software Developer
Bidhan Mondal,assignment7@klimbdemo.com,9829993427,10-Jan-90,5 Year(s) 0 Month(s),"Solution Builder. Python, Django. Learning GO , Machine learning, NLP. Interested in Quantum Computing.",Kolkata,Kolkata,,
Pankaj Kumar Mishra,assignment8@klimbdemo.com,9829993428,15-Aug-80,12 Year(s) 0 Month(s),"I have 12 years of experience in C/C++/AWS/Cloud Formation/Python/Shell scripting/DBA. I worked in Finance, Insurance, Telecom, Gaming, Helath care and Life science domain.I worked as C++, Python developer, AWS infra automation using cloud formation.",Hyderabad,Hyderabad,Accenture,Team Leader
Taraka Venkata Ravi Teja Muvvala,assignment9@klimbdemo.com,9829993429,09-Jun-91,8 Year(s) 0 Month(s),"Professional with 8 years of experience in IT industry comprising of build release management, software configuration, design, development and cloud implementation.Associate of Perficient Technologies working as Senior Technical Consultant.",Hyderabad,"Flat No 316, Bommarillu Apartments, Ajith Singh Nagar, Andhra Prabha Colony , Vijayawada 520015,hyderabad",Perficient,Senior Technical Consultant
Komuravelli Saicharan,assignment10@klimbdemo.com,9829993430,30-Jul-94,4 Year(s) 8 Month(s),Jobseeker with 4 years of python experience living in Hyderabad / Secunderabad,Hyderabad,"H.no : 4-20 , Vasavi Nagar,jannaram.,jannaram",Factset Systems,Software Engineer
